story_id,prediction,rationale
95,1,No narrative constraints violated
136,1,No narrative constraints violated
59,1,No narrative constraints violated
60,1,No narrative constraints violated
124,1,No narrative constraints violated
111,1,No narrative constraints violated
135,1,No narrative constraints violated
27,1,No narrative constraints violated
110,1,No narrative constraints violated
42,0,Evidence balance indicates narrative inconsistency
56,1,No narrative constraints violated
80,1,No narrative constraints violated
28,1,No narrative constraints violated
101,1,No narrative constraints violated
91,1,No narrative constraints violated
24,1,No narrative constraints violated
119,1,No narrative constraints violated
93,1,No narrative constraints violated
72,1,No narrative constraints violated
16,1,No narrative constraints violated
30,1,No narrative constraints violated
97,1,No narrative constraints violated
22,1,No narrative constraints violated
53,1,No narrative constraints violated
58,0,Evidence balance indicates narrative inconsistency
81,1,No narrative constraints violated
47,1,No narrative constraints violated
7,0,Evidence balance indicates narrative inconsistency
121,0,Evidence balance indicates narrative inconsistency
129,1,No narrative constraints violated
51,1,No narrative constraints violated
127,0,Evidence balance indicates narrative inconsistency
133,1,No narrative constraints violated
52,1,No narrative constraints violated
114,1,No narrative constraints violated
2,0,Evidence balance indicates narrative inconsistency
33,1,No narrative constraints violated
15,1,No narrative constraints violated
82,1,No narrative constraints violated
37,1,No narrative constraints violated
3,1,No narrative constraints violated
103,1,No narrative constraints violated
94,1,No narrative constraints violated
85,1,No narrative constraints violated
21,0,Evidence balance indicates narrative inconsistency
49,1,No narrative constraints violated
140,1,No narrative constraints violated
64,1,No narrative constraints violated
131,1,No narrative constraints violated
61,1,No narrative constraints violated
86,1,No narrative constraints violated
38,1,No narrative constraints violated
132,1,No narrative constraints violated
77,1,No narrative constraints violated
70,1,No narrative constraints violated
115,1,No narrative constraints violated
78,1,No narrative constraints violated
87,1,No narrative constraints violated
75,0,Evidence balance indicates narrative inconsistency
44,0,Evidence balance indicates narrative inconsistency
